"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"33","145.7811744967945","91.83325214678155","0.007080078125","0.01171875","0.00244140625","1560","0.00033262770208958975","0.00033262770208958975","0","0.00033262770208958975","0.00033262770208958975","33_39:0.0028133576959258333;33_32:1;33_34:0.0042615282035319835","33_39:0.004883456100408551;33_32:1;33_34:1","33_39:84;33_32:84;33_34:84","true"
"34","150.2235461262771","65.31256222617465","0.004638671875","0.005859375","0.00341796875","1560","0.00031214713614209443","0.00031214713614209443","0","0.00031214713614209443","0.00031214713614209443","34_33:0.0042615282035319835;34_35:0.003437720113454168","34_33:1;34_35:0.00323462799534055","34_33:84;34_35:84","true"
"35","168.74565151621164","44.994594495051736","0.00732421875","0.01318359375","0.00146484375","1560","0.00015218545563727598","0.00015218545563727598","0","0.00015218545563727598","0.00015218545563727598","35_19:0.0035980650023302307;35_34:0.003437720113454168","35_19:0.002169447425860782;35_34:0.00323462799534055","35_19:84;35_34:84","true"
"36","188.73432417954558","102.79664781864807","0.005859375","0.0107421875","0.0009765625","1560","0.0002072411984401415","0.0002072411984401415","0","0.0002072411984401415","0.0002072411984401415","36_41:0.0029328588938727362;36_21:0.006272276427026713","36_41:0.002419522295851101;36_21:0.006644408915564587","36_41:84;36_21:84","true"
"37","134.59669448220288","88.93036152279335","0.00732421875","0.01171875","0.0029296875","1560","0.00019101988039617017","0.00019101988039617017","0","0.00019101988039617017","0.00019101988039617017","37_45:0.00293407480642921;37_25:0.0026042140315368223","37_45:0.002451549395405511;37_25:0.0026156045583619614","37_45:84;37_25:84","true"
"38","82.99195403031217","76.6671045970623","0.004150390625","0.0068359375","0.00146484375","1560","0.00027481661733400867","0.00027481661733400867","0","0.00027481661733400867","0.00027481661733400867","38_29:0.008847164775616811;38_49:0.0036620107943565183","38_29:0.002500271855333469;38_49:0.003942242559595688","38_29:84;38_49:84","true"
"39","125.22245359966564","87.36011228864007","0.007568359375","0.01220703125","0.0029296875","1560","0.0003660956069331824","0.0003660956069331824","0","0.0003660956069331824","0.0003660956069331824","39_53:0.0043189815025320155;39_33:0.0028133576959258333","39_53:0.004202861107698186;39_33:0.004883456100408551","39_53:84;39_33:84","true"
"40","138.17047286040352","103.06018084183842","0.009033203125","0.01123046875","0.0068359375","1560","0.0001659364689771968","0.0001659364689771968","0","0.0001659364689771968","0.0001659364689771968","40_41:0.003006590964868383","40_41:0.003227308386001937","40_41:84","true"
"41","234.91912075647943","114.3186288597741","0.038330078125","0.0400390625","0.03662109375","1560","0.00011243008549083654","0.00011243008549083654","0","0.00011243008549083654","0.00011243008549083654","41_40:0.003006590964868383;41_42:0.002992323340112013;41_36:0.0029328588938727362","41_40:0.003227308386001937;41_42:0.003488476185392081;41_36:0.002419522295851101","41_40:84;41_42:84;41_36:84","true"
"42","137.4317037654609","43.75639718453023","0.006103515625","0.00732421875","0.0048828125","1560","0.00021293180770865826","0.00021293180770865826","0","0.00021293180770865826","0.00021293180770865826","42_41:0.002992323340112013;42_43:0.01552152464759321","42_41:0.003488476185392081;42_43:0.017916902993649564","42_41:84;42_43:84","true"
"43","135.19028890704638","95.41272600075591","0.0322265625","0.0361328125","0.0283203125","1560","0.0010768126349972654","0.0010768126349972654","0","0.0010768126349972654","0.0010768126349972654","43_42:0.01552152464759321;43_56:0.008614784696913624;43_44:0.042631830172816965","43_42:0.017916902993649564;43_56:0.013960431587450528;43_44:1","43_42:84;43_56:84;43_44:84","true"
"44","86.53572559561506","105.35007743205473","0.007080078125","0.01318359375","0.0009765625","1560","0.0002940325515331428","0.0002940325515331428","0","0.0002940325515331428","0.0002940325515331428","44_45:0.0027902990916925385;44_43:0.042631830172816965","44_45:0.002690124918992759;44_43:1","44_45:84;44_43:84","true"
